,eln_clin_gen,eln_demo_gen,eln_clin_demo_cyto_gen,eln_clin_demo_cyto,eln_clin_demo_gen,eln_clin_demo,eln_clin,eln_cyto_gen,clin_demo_cyto_gen,clin_demo_cyto
0,0.6542196972101437,0.6998286095153458,0.7032246802297902,0.6857206335100137,0.7051607579268099,0.7013520804900498,0.6391754213349414,0.6417145396261148,0.7083981337480559,0.7000666518551433
1,0.6581751848177425,0.6874099913591705,0.697842992927321,0.6991231158191187,0.6943226549748776,0.6968668992223254,0.6552469037027555,0.6487742823311038,0.6940186257880756,0.6890741511185073
2,0.6881871564217891,0.7214361569215393,0.7340392303848076,0.7366629185407296,0.7307440029985007,0.7185625937031485,0.6784576461769115,0.677848575712144,0.7317278860569715,0.7294321589205397
3,0.6686205736799116,0.7102772305770432,0.7202069219558289,0.721744422556415,0.7184291868864011,0.7188135620365477,0.6501385352103654,0.6620701804961643,0.717516295904803,0.7124553564278736
4,0.6670595265761429,0.7064672487633212,0.7224693735267753,0.7190664320573686,0.7186680389097307,0.7173400617509379,0.6476046611998274,0.6625029049500348,0.7257229175658179,0.7255237209919989
5,0.6717340295449288,0.6998578935192835,0.7131927690934928,0.7115403681549292,0.712366568624211,0.7058891569450412,0.6689084239399848,0.6481542681516244,0.7128788129151657,0.7040384678938497
6,0.6826379852749823,0.7335331807026502,0.7447663597582066,0.7439922257177211,0.7460346219096404,0.7399733170820088,0.6708612652973828,0.6559962446263568,0.7450793075618072,0.7308813598405614
7,0.692197432381902,0.7158949270846316,0.7352922846815406,0.7326280693007603,0.7390471145456812,0.7358999127508413,0.6843605883086127,0.6528340396360464,0.7253521126760564,0.7217686650878724
8,0.6675329468391026,0.7010872072459979,0.7136046994417875,0.7126820341693706,0.7110366144335604,0.7036399144996848,0.6607052238232173,0.6508942164265173,0.71265127866029,0.6997185870919128
9,0.6771254258775058,0.6951905554235005,0.7184692179700499,0.7141114016322003,0.7149671182949053,0.7053482291419063,0.6617225259488154,0.6496077965295936,0.7234925917122257,0.7136993899057127
